Actual Arrival Date,Actual Arrival Date (Day),Actual Arrival Date (Hour),Actual Arrival Date (Minute),Actual Arrival Date (Month),Actual Arrival Date (Quarter),Actual Arrival Date (Second),Actual Arrival Date (Week),Actual Arrival Date (Year),Actual Arrival Date (Epoch days),Actual Arrival Date (Epoch seconds),Communicating With(Provider ID and Customer ID),Customer ID,Order Stage,Order Type,Ordered Date,Ordered Date (Day),Ordered Date (Hour),Ordered Date (Minute),Ordered Date (Month),Ordered Date (Quarter),Ordered Date (Second),Ordered Date (Week),Ordered Date (Year),Ordered Date (Epoch days),Ordered Date (Epoch seconds),Ordered ID,Ordered Quantity,Product IDs,Product Name,Promised Arrival Date,Promised Arrival Date (Day),Promised Arrival Date (Hour),Promised Arrival Date (Minute),Promised Arrival Date (Month),Promised Arrival Date (Quarter),Promised Arrival Date (Second),Promised Arrival Date (Week),Promised Arrival Date (Year),Promised Arrival Date (Epoch days),Promised Arrival Date (Epoch seconds),Warehouse IDs
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Ordered,Delivery,1/1/2018,01,00,00,01,1,00,01,2018,17532,1514764800,ORD1001A,500,PRO1001,Potatos,3/1/2018,01,00,00,03,1,00,09,2018,17591,1519862400,WWE1001
1/17/2018,17,00,00,01,1,00,03,2018,17548,1516147200,PROVIDER1021,SERVICEPROVIDER1010,Item Delivered,Delivery,1/15/2018,15,00,00,01,1,00,03,2018,17546,1515974400,ORD1001B,400,PRO1001,Potatos,1/16/2018,16,00,00,01,1,00,03,2018,17547,1516060800,WWE1001
5/1/2018,01,00,00,05,2,00,18,2018,17652,1525132800,PROVIDER1021,SERVICEPROVIDER1010,Order Received,Delivery,2/1/2018,01,00,00,02,1,00,05,2018,17563,1517443200,ORD1002,400,PRO1002,Onions,4/1/2018,01,00,00,04,2,00,13,2018,17622,1522540800,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Order Picked,Delivery,3/1/2018,01,00,00,03,1,00,09,2018,17591,1519862400,ORD1003,300,PRO1003,Tomatos,5/1/2018,01,00,00,05,2,00,18,2018,17652,1525132800,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Order Packaged,Delivery,4/1/2018,01,00,00,04,2,00,13,2018,17622,1522540800,ORD1004,300,PRO1004,Beet Roots,6/1/2018,01,00,00,06,2,00,22,2018,17683,1527811200,WWE1001
"",,,,,,,,,0,0,PROVIDER1021,SERVICEPROVIDER1010,Order Shipped,Delivery,5/1/2018,01,00,00,05,2,00,18,2018,17652,1525132800,ORD1005,400,PRO1005,Carrots,7/1/2018,01,00,00,07,3,00,26,2018,17713,1530403200,WWE1001
9/1/2018,01,00,00,09,3,00,35,2018,17775,1535760000,PROVIDER1022,SERVICEPROVIDER1010,Item Delivered,Delivery,6/1/2018,01,00,00,06,2,00,22,2018,17683,1527811200,ORD1006,500,PRO1006,Ferrero Rocher,8/1/2018,01,00,00,08,3,00,31,2018,17744,1533081600,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Ordered,Delivery,7/1/2018,01,00,00,07,3,00,26,2018,17713,1530403200,ORD1007,400,PRO1007,Cadbury Dairy Milk,9/1/2018,01,00,00,09,3,00,35,2018,17775,1535760000,WWE1001
11/1/2018,01,00,00,11,4,00,44,2018,17836,1541030400,PROVIDER1022,SERVICEPROVIDER1010,Order Received,Delivery,8/1/2018,01,00,00,08,3,00,31,2018,17744,1533081600,ORD1008A,500,PRO1008,Hershey's,10/1/2018,01,00,00,10,4,00,40,2018,17805,1538352000,WWE1001
1/16/2018,16,00,00,01,1,00,03,2018,17547,1516060800,PROVIDER1022,SERVICEPROVIDER1010,Item Delivered,Delivery,1/15/2018,15,00,00,01,1,00,03,2018,17546,1515974400,ORD1008A,300,PRO1008,Hershey's,1/16/2018,16,00,00,01,1,00,03,2018,17547,1516060800,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Picked,Delivery,9/1/2018,01,00,00,09,3,00,35,2018,17775,1535760000,ORD1009,300,PRO1009,Skim Milk,11/1/2018,01,00,00,11,4,00,44,2018,17836,1541030400,WWE1001
"",,,,,,,,,0,0,PROVIDER1022,SERVICEPROVIDER1010,Order Packaged,Delivery,10/1/2018,01,00,00,10,4,00,40,2018,17805,1538352000,ORD1010,400,PRO1010,Lowfat Milk,12/1/2018,01,00,00,12,4,00,48,2018,17866,1543622400,WWE1001
