Arrival Date,Arrival Date (Day),Arrival Date (Hour),Arrival Date (Minute),Arrival Date (Month),Arrival Date (Quarter),Arrival Date (Second),Arrival Date (Week),Arrival Date (Year),Arrival Date (Epoch days),Arrival Date (Epoch seconds),Dispatch Date,Dispatch Date (Day),Dispatch Date (Hour),Dispatch Date (Minute),Dispatch Date (Month),Dispatch Date (Quarter),Dispatch Date (Second),Dispatch Date (Week),Dispatch Date (Year),Dispatch Date (Epoch days),Dispatch Date (Epoch seconds),From Source,Ordered ID,To Destination,Truck ID,Warehouse IDs
"",,,,,,,,,0,0,2/1/2018,02,00,00,01,1,00,01,2018,17533,1514851200,WWE1001,ORD1001A,SERVICEPROVIDER1010,TRU1001,WWE1001
17/1/2018,17,00,00,01,1,00,03,2018,17548,1516147200,16/1/2018,16,00,00,01,1,00,03,2018,17547,1516060800,WWE1002,ORD1001B,SERVICEPROVIDER1011,TRU1001,WWE1001
5/1/2018,05,00,00,01,1,00,01,2018,17536,1515110400,3/1/2018,03,00,00,01,1,00,01,2018,17534,1514937600,WWE1001,ORD1002,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,4/1/2018,04,00,00,01,1,00,01,2018,17535,1515024000,WWE1001,ORD1003,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,5/1/2018,05,00,00,01,1,00,01,2018,17536,1515110400,WWE1001,ORD1004,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,6/1/2018,06,00,00,01,1,00,01,2018,17537,1515196800,WWE1001,ORD1005,SERVICEPROVIDER1010,TRU1001,WWE1001
9/1/2018,09,00,00,01,1,00,02,2018,17540,1515456000,7/1/2018,07,00,00,01,1,00,01,2018,17538,1515283200,WWE1001,ORD1006,SERVICEPROVIDER1010,TRU1001,WWE1001
"",,,,,,,,,0,0,8/1/2018,08,00,00,01,1,00,02,2018,17539,1515369600,WWE1001,ORD1007,SERVICEPROVIDER1010,TRU1001,WWE1001
11/1/2018,11,00,00,01,1,00,02,2018,17542,1515628800,9/1/2018,09,00,00,01,1,00,02,2018,17540,1515456000,WWE1001,ORD1008A,SERVICEPROVIDER1010,TRU1001,WWE1001
16/1/2018,16,00,00,01,1,00,03,2018,17547,1516060800,15/1/2018,15,00,00,01,1,00,03,2018,17546,1515974400,WWE1002,ORD1008A,SERVICEPROVIDER1011,TRU1002,WWE1002
